ACCESSION	TargetID	SYMBOL	Ratio G-6h / Sh 6h	Log2 Ratio G-6h / Sh 6h	Ratio G+6h / Sh6h	Log2 Ratio G+6h / Sh6h	Ratio G-24h / Sh24h	Log2 Ratio G-24h / Sh24h	Ratio G+24h / Sh24h	Log2 G+24h / Sh24h	DEFINITION
NM_001235.2	ILMN_28241	SERPINH1	NaN	NaN	0.94	-0.09	3.62	1.86	4.57	2.19	Homo sapiens serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1) (SERPINH1), mRNA.
NM_001388.3	ILMN_28249	DRG2	NaN	NaN	0.88	-0.19	NaN	NaN	1.01	0.02	Homo sapiens developmentally regulated GTP binding protein 2 (DRG2), mRNA.
NM_003601.2	ILMN_28255	SMARCA5	1.94	0.95	1.75	0.81	1.25	0.32	1.35	0.43	Homo sapiens SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5 (SMARCA5), mRNA.
NM_020996.1	ILMN_28260	FGF6	1.65	0.72	1.40	0.49	1.01	0.01	1.16	0.21	Homo sapiens fibroblast growth factor 6 (FGF6), mRNA.
NM_017432.2	ILMN_28265	PTOV1	0.43	-1.23	0.64	-0.65	0.72	-0.48	0.66	-0.60	Homo sapiens prostate tumor overexpressed gene 1 (PTOV1), mRNA.
NM_014338.3	ILMN_28266	PISD	1.70	0.77	1.67	0.74	1.26	0.34	1.22	0.29	Homo sapiens phosphatidylserine decarboxylase (PISD), mRNA.
NM_006660.3	ILMN_28281	CLPX	0.76	-0.40	0.84	-0.25	1.38	0.47	1.13	0.18	Homo sapiens ClpX caseinolytic peptidase X homolog (E. coli) (CLPX), mRNA.
NM_014372.3	ILMN_28284	RNF11	1.09	0.13	0.72	-0.48	1.08	0.11	1.08	0.11	Homo sapiens ring finger protein 11 (RNF11), mRNA.
NM_000340.1	ILMN_28285	SLC2A2	0.13	-2.90	0.39	-1.35	0.36	-1.45	NaN	NaN	Homo sapiens solute carrier family 2 (facilitated glucose transporter), member 2 (SLC2A2), mRNA.
NM_001398.2	ILMN_28288	ECH1	0.33	-1.60	0.65	-0.62	0.43	-1.21	0.42	-1.25	Homo sapiens enoyl Coenzyme A hydratase 1, peroxisomal (ECH1), mRNA.
NM_000184.2	ILMN_28292	HBG2	0.04	-4.55	0.12	-3.07	0.90	-0.15	2.02	1.01	Homo sapiens hemoglobin, gamma G (HBG2), mRNA.
NM_005311.3	ILMN_2830	GRB10	2.86	1.52	2.07	1.05	1.41	0.49	1.40	0.49	Homo sapiens growth factor receptor-bound protein 10 (GRB10), transcript variant 1, mRNA.
NM_016101.3	ILMN_28300	NIP7	1.87	0.90	1.43	0.52	0.68	-0.56	0.61	-0.72	Homo sapiens nuclear import 7 homolog (S. cerevisiae) (NIP7), mRNA.
NM_019008.4	ILMN_28305	FLJ20232	1.14	0.19	1.10	0.14	0.87	-0.20	1.26	0.34	Homo sapiens hypothetical protein FLJ20232 (FLJ20232), mRNA.
NM_152581.1	ILMN_28307	MOSPD2	1.05	0.07	1.89	0.92	0.87	-0.20	0.81	-0.31	Homo sapiens motile sperm domain containing 2 (MOSPD2), mRNA.
NM_000327.2	ILMN_28308	ROM1	1.70	0.76	1.20	0.26	1.22	0.29	1.17	0.22	Homo sapiens retinal outer segment membrane protein 1 (ROM1), mRNA.
NM_002767.2	ILMN_28311	PRPSAP2	NaN	NaN	NaN	NaN	1.07	0.10	1.15	0.20	Homo sapiens phosphoribosyl pyrophosphate synthetase-associated protein 2 (PRPSAP2), mRNA.
NM_198077.1	ILMN_28315	C1orf52	1.12	0.16	0.95	-0.08	0.78	-0.36	0.90	-0.15	Homo sapiens chromosome 1 open reading frame 52 (C1orf52), mRNA.
NM_153703.3	ILMN_28316	PODN	NaN	NaN	1.15	0.21	2.99	1.58	2.56	1.35	Homo sapiens podocan (PODN), mRNA.
NM_006141.2	ILMN_2834	DYNC1LI2	1.06	0.08	0.93	-0.11	1.47	0.55	1.22	0.28	Homo sapiens dynein, cytoplasmic 1, light intermediate chain 2 (DYNC1LI2), mRNA.
NM_153050.1	ILMN_2835	MTMR3	1.14	0.19	0.98	-0.02	1.12	0.16	1.17	0.23	Homo sapiens myotubularin related protein 3 (MTMR3), transcript variant 1, mRNA.
NM_173663.1	ILMN_28353	NY-REN-7	1.57	0.65	1.17	0.22	1.00	0.00	0.94	-0.09	Homo sapiens NY-REN-7 antigen (NY-REN-7), mRNA.
NM_015457.2	ILMN_28354	ZDHHC5	1.11	0.15	1.05	0.07	0.96	-0.05	1.07	0.10	Homo sapiens zinc finger, DHHC-type containing 5 (ZDHHC5), mRNA.
NM_014613.1	ILMN_28356	UBXD8	1.09	0.13	1.06	0.09	0.82	-0.29	0.79	-0.34	Homo sapiens UBX domain containing 8 (UBXD8), mRNA.
NM_015691.2	ILMN_28362	WWC3	1.07	0.10	0.79	-0.34	1.16	0.21	1.26	0.33	Homo sapiens WWC family member 3 (WWC3), mRNA.
NM_018708.1	ILMN_2838	FEM1A	0.91	-0.14	0.92	-0.11	0.74	-0.44	0.74	-0.44	Homo sapiens fem-1 homolog a (C.elegans) (FEM1A), mRNA.
NM_005482.1	ILMN_28380	PIGK	0.71	-0.49	0.76	-0.39	0.85	-0.24	0.70	-0.51	Homo sapiens phosphatidylinositol glycan, class K (PIGK), mRNA.
NM_001308.1	ILMN_28382	CPN1	0.91	-0.14	0.92	-0.13	0.63	-0.66	0.41	-1.27	Homo sapiens carboxypeptidase N, polypeptide 1, 50kD (CPN1), mRNA.
NM_015465.1	ILMN_28383	GEMIN5	1.63	0.71	1.24	0.31	0.84	-0.25	0.93	-0.11	Homo sapiens gem (nuclear organelle) associated protein 5 (GEMIN5), mRNA.
NM_002040.2	ILMN_28392	GABPA	1.12	0.17	0.77	-0.38	0.57	-0.80	0.54	-0.89	Homo sapiens GA binding protein transcription factor, alpha subunit 60kDa (GABPA), mRNA.
NM_002952.3	ILMN_28396	RPS2	1.18	0.24	0.99	-0.01	1.10	0.14	1.05	0.06	Homo sapiens ribosomal protein S2 (RPS2), mRNA.
NM_003986.1	ILMN_2840	BBOX1	NaN	NaN	0.38	-1.38	NaN	NaN	NaN	NaN	Homo sapiens butyrobetaine (gamma), 2-oxoglutarate dioxygenase (gamma-butyrobetaine hydroxylase) 1 (BBOX1), mRNA.
NM_001994.1	ILMN_28408	F13B	0.61	-0.72	0.89	-0.16	NaN	NaN	NaN	NaN	Homo sapiens coagulation factor XIII, B polypeptide (F13B), mRNA.
NM_004846.2	ILMN_2841	EIF4E2	0.99	-0.02	0.95	-0.07	1.22	0.28	1.12	0.16	Homo sapiens eukaryotic translation initiation factor 4E member 2 (EIF4E2), mRNA.
NM_014772.1	ILMN_2842	KIAA0427	NaN	NaN	NaN	NaN	0.74	-0.43	0.72	-0.47	Homo sapiens KIAA0427 (KIAA0427), mRNA.
NM_003961.1	ILMN_28423	RHBDL1	NaN	NaN	0.94	-0.10	NaN	NaN	NaN	NaN	Homo sapiens rhomboid, veinlet-like 1 (Drosophila) (RHBDL1), mRNA.
NM_001010891.1	ILMN_28425	MTX3	0.68	-0.56	0.72	-0.48	0.84	-0.25	0.69	-0.55	Homo sapiens metaxin 3 (MTX3), mRNA.
NM_016447.2	ILMN_28432	MPP6	0.41	-1.30	0.55	-0.88	0.67	-0.57	0.49	-1.02	Homo sapiens membrane protein, palmitoylated 6 (MAGUK p55 subfamily member 6) (MPP6), mRNA.
NM_018027.2	ILMN_28435	FRMD4A	2.52	1.33	1.33	0.41	1.07	0.10	1.31	0.39	Homo sapiens FERM domain containing 4A (FRMD4A), mRNA.
NM_020235.2	ILMN_28437	BBX	0.97	-0.04	0.79	-0.34	0.64	-0.65	0.57	-0.80	Homo sapiens bobby sox homolog (Drosophila) (BBX), mRNA.
NM_152740.2	ILMN_28448	HIBADH	0.58	-0.78	0.81	-0.30	0.57	-0.82	0.71	-0.48	Homo sapiens 3-hydroxyisobutyrate dehydrogenase (HIBADH), mRNA.
NM_018141.2	ILMN_2845	MRPS10	0.88	-0.18	0.97	-0.04	1.10	0.14	0.92	-0.13	Homo sapiens mitochondrial ribosomal protein S10 (MRPS10), nuclear gene encoding mitochondrial protein, mRNA.
NM_024647.4	ILMN_28463	NUP43	1.43	0.52	1.18	0.24	NaN	NaN	1.00	0.00	Homo sapiens nucleoporin 43kDa (NUP43), transcript variant 2, mRNA.
NM_005452.4	ILMN_2847	WDR46	1.52	0.61	1.54	0.62	0.91	-0.13	1.26	0.33	Homo sapiens WD repeat domain 46 (WDR46), mRNA.
NM_006372.3	ILMN_28470	SYNCRIP	1.17	0.22	0.94	-0.09	0.77	-0.38	0.66	-0.59	Homo sapiens synaptotagmin binding, cytoplasmic RNA interacting protein (SYNCRIP), mRNA.
NM_002166.4	ILMN_28481	ID2	2.45	1.29	2.46	1.30	1.37	0.46	1.32	0.40	Homo sapiens inhibitor of DNA binding 2, dominant negative helix-loop-helix protein (ID2), mRNA.
NM_016246.2	ILMN_28482	DHRS10	0.63	-0.66	0.76	-0.39	NaN	NaN	NaN	NaN	Homo sapiens dehydrogenase/reductase (SDR family) member 10 (DHRS10), mRNA.
NM_021238.1	ILMN_28485	FAM60A	1.83	0.87	1.61	0.68	1.92	0.94	2.43	1.28	Homo sapiens family with sequence similarity 60, member A (FAM60A), mRNA.
NM_000331.2	ILMN_28491	SAA1	1.18	0.24	0.95	-0.08	1.00	0.00	0.96	-0.05	Homo sapiens serum amyloid A1 (SAA1), transcript variant 1, mRNA.
NM_017750.2	ILMN_28492	RetSat	0.51	-0.96	0.86	-0.21	0.70	-0.51	0.72	-0.47	Homo sapiens all-trans-13,14-dihydroretinol saturase (RetSat), mRNA.
NM_023944.1	ILMN_28493	CYP4F12	0.71	-0.49	0.78	-0.36	0.26	-1.93	0.19	-2.39	Homo sapiens cytochrome P450, family 4, subfamily F, polypeptide 12 (CYP4F12), mRNA.
NM_001029950.1	ILMN_28495	DKFZp434K191	2.15	1.11	2.28	1.19	1.03	0.04	0.99	-0.01	Homo sapiens hypothetical protein DKFZp434K191 (DKFZp434K191), mRNA.
NM_030634.1	ILMN_2850	ZNF436	1.46	0.55	NaN	NaN	0.98	-0.03	0.89	-0.17	Homo sapiens zinc finger protein 436 (ZNF436), mRNA.
NM_016040.3	ILMN_28500	TMED5	0.84	-0.25	0.89	-0.17	0.66	-0.60	0.79	-0.34	Homo sapiens transmembrane emp24 protein transport domain containing 5 (TMED5), mRNA.
NM_005316.2	ILMN_28516	GTF2H1	NaN	NaN	NaN	NaN	0.85	-0.24	NaN	NaN	Homo sapiens general transcription factor IIH, polypeptide 1 (62kD subunit) (GTF2H1), mRNA.
NM_006099.2	ILMN_28519	PIAS3	0.44	-1.19	0.46	-1.11	1.13	0.18	1.01	0.01	Homo sapiens protein inhibitor of activated STAT, 3 (PIAS3), mRNA.
NM_006191.1	ILMN_28541	PA2G4	1.73	0.79	1.95	0.96	0.93	-0.11	0.96	-0.06	Homo sapiens proliferation-associated 2G4, 38kDa (PA2G4), mRNA.
NM_012179.3	ILMN_28542	FBXO7	1.96	0.97	1.09	0.12	1.49	0.58	1.27	0.34	Homo sapiens F-box protein 7 (FBXO7), transcript variant 1, mRNA.
NM_002298.2	ILMN_28547	LCP1	4.11	2.04	3.85	1.94	1.99	0.99	2.38	1.25	Homo sapiens lymphocyte cytosolic protein 1 (L-plastin) (LCP1), transcript variant 5, mRNA.
NM_006926.1	ILMN_28548	SFTPA2	1.62	0.70	1.30	0.38	1.04	0.05	1.16	0.21	Homo sapiens surfactant, pulmonary-associated protein A2 (SFTPA2), mRNA.
NM_003963.2	ILMN_28551	TM4SF5	0.82	-0.29	0.67	-0.57	1.00	0.00	0.88	-0.19	Homo sapiens transmembrane 4 L six family member 5 (TM4SF5), mRNA.
NM_015374.1	ILMN_28554	UNC84B	0.42	-1.26	0.66	-0.59	0.91	-0.14	0.80	-0.32	Homo sapiens unc-84 homolog B (C. elegans) (UNC84B), mRNA.
NM_207459.1	ILMN_28580	FLJ35767	1.59	0.67	1.44	0.52	1.14	0.19	1.11	0.16	Homo sapiens FLJ35767 protein (FLJ35767), mRNA.
NM_000900.2	ILMN_28594	MGP	0.45	-1.15	0.66	-0.60	3.76	1.91	0.69	-0.55	Homo sapiens matrix Gla protein (MGP), mRNA.
NM_003273.1	ILMN_28596	TM7SF2	0.36	-1.46	0.58	-0.79	0.43	-1.23	0.64	-0.65	Homo sapiens transmembrane 7 superfamily member 2 (TM7SF2), mRNA.
NM_013237.2	ILMN_28597	PX19	1.24	0.31	1.11	0.15	0.91	-0.14	0.99	-0.02	Homo sapiens px19-like protein (PX19), mRNA.
NM_033089.6	ILMN_28604	ZCCHC3	0.81	-0.30	0.98	-0.02	0.84	-0.26	0.66	-0.60	Homo sapiens zinc finger, CCHC domain containing 3 (ZCCHC3), mRNA.
NM_213606.1	ILMN_28607	SLC16A12	NaN	NaN	NaN	NaN	0.88	-0.19	NaN	NaN	Homo sapiens solute carrier family 16 (monocarboxylic acid transporters), member 12 (SLC16A12), mRNA.
NM_006915.1	ILMN_28618	RP2	2.40	1.26	1.34	0.43	1.08	0.11	1.07	0.10	Homo sapiens retinitis pigmentosa 2 (X-linked recessive) (RP2), mRNA.
NM_145914.2	ILMN_2862	ZNF38	0.84	-0.25	0.97	-0.05	1.16	0.22	1.12	0.17	Homo sapiens zinc finger protein 38 (ZNF38), mRNA.
NM_000350.1	ILMN_28625	ABCA4	0.88	-0.19	1.29	0.37	NaN	NaN	NaN	NaN	Homo sapiens ATP-binding cassette, sub-family A (ABC1), member 4 (ABCA4), mRNA.
NM_003589.2	ILMN_28629	CUL4A	1.05	0.07	1.07	0.10	1.38	0.47	1.14	0.19	Homo sapiens cullin 4A (CUL4A), transcript variant 2, mRNA.
NM_002906.3	ILMN_28633	RDX	0.91	-0.14	0.74	-0.44	1.85	0.89	1.82	0.86	Homo sapiens radixin (RDX), mRNA.
NM_015920.3	ILMN_28649	RPS27L	0.78	-0.35	0.86	-0.21	0.87	-0.20	0.88	-0.19	Homo sapiens ribosomal protein S27-like (RPS27L), mRNA.
NM_014313.2	ILMN_28657	TMEM50A	2.20	1.14	2.66	1.41	1.01	0.02	0.86	-0.21	Homo sapiens transmembrane protein 50A (TMEM50A), mRNA.
NM_015382.1	ILMN_28658	HECTD1	0.90	-0.15	0.79	-0.34	1.07	0.10	1.24	0.31	Homo sapiens HECT domain containing 1 (HECTD1), mRNA.
NM_019885.2	ILMN_28662	CYP26B1	NaN	NaN	NaN	NaN	0.69	-0.53	0.72	-0.47	Homo sapiens cytochrome P450, family 26, subfamily B, polypeptide 1 (CYP26B1), mRNA.
NM_032221.3	ILMN_28663	CHD6	NaN	NaN	NaN	NaN	0.65	-0.63	NaN	NaN	Homo sapiens chromodomain helicase DNA binding protein 6 (CHD6), mRNA.
NM_148957.2	ILMN_28684	TNFRSF19	NaN	NaN	NaN	NaN	0.37	-1.44	NaN	NaN	Homo sapiens tumor necrosis factor receptor superfamily, member 19 (TNFRSF19), transcript variant 2, mRNA.
NM_015343.3	ILMN_28688	DULLARD	1.00	0.00	1.19	0.26	1.00	0.00	1.07	0.10	Homo sapiens dullard homolog (Xenopus laevis) (DULLARD), mRNA.
NM_001792.2	ILMN_28694	CDH2	0.26	-1.96	0.34	-1.54	0.74	-0.44	0.55	-0.85	Homo sapiens cadherin 2, type 1, N-cadherin (neuronal) (CDH2), mRNA.
NM_024072.3	ILMN_28699	DDX54	1.15	0.20	1.12	0.17	0.87	-0.20	0.84	-0.25	Homo sapiens DEAD (Asp-Glu-Ala-Asp) box polypeptide 54 (DDX54), mRNA.
NM_153706.2	ILMN_28708	MGC33648	0.97	-0.04	0.79	-0.35	0.76	-0.40	0.85	-0.23	Homo sapiens hypothetical protein MGC33648 (MGC33648), mRNA.
NM_015446.3	ILMN_28711	AHCTF1	0.90	-0.15	0.79	-0.33	0.93	-0.11	0.79	-0.34	Homo sapiens AT hook containing transcription factor 1 (AHCTF1), mRNA.
NM_018079.3	ILMN_28720	FLJ10379	0.74	-0.44	0.75	-0.42	0.63	-0.67	0.65	-0.62	Homo sapiens hypothetical protein FLJ10379 (FLJ10379), mRNA.
NM_153357.1	ILMN_28722	SLC16A11	0.86	-0.22	0.93	-0.10	1.47	0.55	1.09	0.13	Homo sapiens solute carrier family 16 (monocarboxylic acid transporters), member 11 (SLC16A11), mRNA.
NM_013230.2	ILMN_28723	CD24	0.91	-0.13	NaN	NaN	1.80	0.85	1.10	0.13	Homo sapiens CD24 antigen (small cell lung carcinoma cluster 4 antigen) (CD24), mRNA.
NM_032704.2	ILMN_28729	TUBA6	0.83	-0.27	0.88	-0.18	0.85	-0.23	0.93	-0.11	Homo sapiens tubulin, alpha 6 (TUBA6), mRNA.
NM_006904.6	ILMN_28730	PRKDC	0.98	-0.02	1.10	0.14	1.05	0.06	1.17	0.23	Homo sapiens protein kinase, DNA-activated, catalytic polypeptide (PRKDC), mRNA.
NM_003390.2	ILMN_28737	WEE1	2.76	1.46	1.09	0.13	10.82	3.44	21.31	4.41	Homo sapiens WEE1 homolog (S. pombe) (WEE1), mRNA.
NM_003146.2	ILMN_28740	SSRP1	1.38	0.46	1.27	0.34	1.21	0.27	1.30	0.38	Homo sapiens structure specific recognition protein 1 (SSRP1), mRNA.
NM_145693.1	ILMN_28744	LPIN1	2.00	1.00	1.71	0.77	0.86	-0.22	1.88	0.91	Homo sapiens lipin 1 (LPIN1), mRNA.
NM_000067.1	ILMN_28750	CA2	0.24	-2.03	0.49	-1.02	0.85	-0.24	0.76	-0.39	Homo sapiens carbonic anhydrase II (CA2), mRNA.
NM_004649.4	ILMN_28752	C21orf33	0.46	-1.13	0.80	-0.32	1.46	0.55	1.40	0.48	Homo sapiens chromosome 21 open reading frame 33 (C21orf33), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.
NM_001620.1	ILMN_28759	AHNAK	0.30	-1.75	0.53	-0.92	0.70	-0.52	0.48	-1.06	Homo sapiens AHNAK nucleoprotein (desmoyokin) (AHNAK), transcript variant 1, mRNA.
NM_006819.1	ILMN_28761	STIP1	0.96	-0.06	1.02	0.03	1.15	0.20	1.68	0.75	Homo sapiens stress-induced-phosphoprotein 1 (Hsp70/Hsp90-organizing protein) (STIP1), mRNA.
NM_014550.3	ILMN_28765	CARD10	0.40	-1.31	0.28	-1.84	0.84	-0.25	1.11	0.14	Homo sapiens caspase recruitment domain family, member 10 (CARD10), mRNA.
NM_001527.1	ILMN_28766	HDAC2	1.12	0.16	1.09	0.12	1.30	0.38	1.55	0.63	Homo sapiens histone deacetylase 2 (HDAC2), mRNA.
NM_020806.4	ILMN_28767	GPHN	0.65	-0.61	1.00	0.00	0.65	-0.63	0.80	-0.32	Homo sapiens gephyrin (GPHN), transcript variant 1, mRNA.
NM_025140.1	ILMN_2877	FLJ22471	0.72	-0.47	0.53	-0.92	0.93	-0.10	0.37	-1.43	Homo sapiens limkain beta 2 (FLJ22471), mRNA.
NM_004870.1	ILMN_28782	MPDU1	1.11	0.15	1.03	0.05	1.04	0.05	0.85	-0.24	Homo sapiens mannose-P-dolichol utilization defect 1 (MPDU1), mRNA.
NM_033286.1	ILMN_28790	C15orf23	NaN	NaN	NaN	NaN	1.57	0.65	NaN	NaN	Homo sapiens chromosome 15 open reading frame 23 (C15orf23), mRNA.
NM_018379.2	ILMN_28794	FAM63A	0.88	-0.18	0.97	-0.04	0.66	-0.61	1.04	0.05	Homo sapiens family with sequence similarity 63, member A (FAM63A), mRNA.
NM_172027.1	ILMN_28796	ABTB1	NaN	NaN	NaN	NaN	1.42	0.51	1.36	0.44	Homo sapiens ankyrin repeat and BTB (POZ) domain containing 1 (ABTB1), transcript variant 2, mRNA.
NM_173659.2	ILMN_28804	RPUSD3	1.19	0.26	1.09	0.13	1.06	0.09	1.03	0.04	Homo sapiens RNA pseudouridylate synthase domain containing 3 (RPUSD3), mRNA.
NM_014574.2	ILMN_28816	STRN3	1.20	0.26	1.21	0.28	1.06	0.08	1.31	0.39	Homo sapiens striatin, calmodulin binding protein 3 (STRN3), mRNA.
NM_006010.2	ILMN_28822	ARMET	0.99	-0.01	1.06	0.08	0.71	-0.50	0.68	-0.55	Homo sapiens arginine-rich, mutated in early stage tumors (ARMET), mRNA.
NM_181715.1	ILMN_28825	CRTC2	1.37	0.45	1.55	0.63	0.85	-0.23	1.11	0.15	Homo sapiens CREB regulated transcription coactivator 2 (CRTC2), mRNA.
NM_015238.1	ILMN_28835	WWC1	1.35	0.43	1.20	0.26	1.57	0.65	1.72	0.79	Homo sapiens WW, C2 and coiled-coil domain containing 1 (WWC1), mRNA.
NM_001685.4	ILMN_28836	ATP5J	0.56	-0.84	0.74	-0.44	0.83	-0.26	0.82	-0.29	Homo sapiens ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6 (ATP5J), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA.
NM_021202.1	ILMN_28839	TP53INP2	1.32	0.40	1.77	0.82	1.36	0.44	1.84	0.88	Homo sapiens tumor protein p53 inducible nuclear protein 2 (TP53INP2), mRNA.
NM_006391.1	ILMN_28842	IPO7	3.05	1.61	2.25	1.17	1.97	0.98	1.99	0.99	Homo sapiens importin 7 (IPO7), mRNA.
NM_153611.3	ILMN_28843	CYBASC3	0.46	-1.12	0.73	-0.46	0.98	-0.03	0.78	-0.36	Homo sapiens cytochrome b, ascorbate dependent 3 (CYBASC3), mRNA.
NM_175622.3	ILMN_28848	MT1JP	1.68	0.75	5.18	2.37	1.33	0.41	2.07	1.05	Homo sapiens metallothionein 1J (pseudogene) (MT1JP), mRNA.
NM_006801.2	ILMN_28854	KDELR1	0.71	-0.49	0.79	-0.34	0.83	-0.26	0.64	-0.65	Homo sapiens KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1 (KDELR1), mRNA.
NM_014887.1	ILMN_28859	PFAAP5	1.26	0.33	1.08	0.11	0.96	-0.05	1.01	0.02	Homo sapiens phosphonoformate immuno-associated protein 5 (PFAAP5), mRNA.
NM_152635.1	ILMN_28862	OIT3	NaN	NaN	0.48	-1.05	0.74	-0.44	0.61	-0.72	Homo sapiens oncoprotein induced transcript 3 (OIT3), mRNA.
NM_002109.3	ILMN_28863	HARS	1.20	0.26	1.10	0.14	0.73	-0.45	0.65	-0.62	Homo sapiens histidyl-tRNA synthetase (HARS), mRNA.
NM_001006.3	ILMN_28872	RPS3A	0.84	-0.25	0.82	-0.29	1.21	0.28	1.21	0.27	Homo sapiens ribosomal protein S3A (RPS3A), mRNA.
NM_000518.4	ILMN_28875	HBB	0.68	-0.55	0.93	-0.11	0.79	-0.35	1.15	0.21	Homo sapiens hemoglobin, beta (HBB), mRNA.
NM_000778.2	ILMN_28879	CYP4A11	0.16	-2.66	0.29	-1.79	0.13	-2.96	0.01	-7.60	Homo sapiens cytochrome P450, family 4, subfamily A, polypeptide 11 (CYP4A11), mRNA.
NM_006587.2	ILMN_28881	CORIN	0.56	-0.83	1.51	0.59	0.73	-0.45	0.60	-0.74	Homo sapiens corin, serine peptidase (CORIN), mRNA.
NM_207344.1	ILMN_28886	LOC283377	0.57	-0.82	0.76	-0.40	1.10	0.14	1.12	0.16	Homo sapiens hypothetical protein LOC283377 (LOC283377), mRNA.
NM_014316.1	ILMN_28900	CARHSP1	NaN	NaN	NaN	NaN	1.05	0.07	0.99	-0.01	Homo sapiens calcium regulated heat stable protein 1, 24kDa (CARHSP1), mRNA.
NM_024319.2	ILMN_28904	C1orf35	NaN	NaN	NaN	NaN	0.99	-0.01	1.12	0.16	Homo sapiens chromosome 1 open reading frame 35 (C1orf35), mRNA.
NM_006417.2	ILMN_28905	IFI44	1.84	0.88	7.15	2.84	2.22	1.15	1.95	0.97	Homo sapiens interferon-induced protein 44 (IFI44), mRNA.
NM_053285.1	ILMN_28911	TEKT1	1.60	0.67	0.37	-1.42	6.36	2.67	2.27	1.18	Homo sapiens tektin 1 (TEKT1), mRNA.
NM_182580.1	ILMN_28928	CYB561D1	1.50	0.58	1.25	0.32	0.99	-0.02	0.97	-0.04	Homo sapiens cytochrome b-561 domain containing 1 (CYB561D1), mRNA.
NM_032730.3	ILMN_2894	RTN4IP1	0.92	-0.11	1.43	0.51	1.11	0.15	0.95	-0.08	Homo sapiens reticulon 4 interacting protein 1 (RTN4IP1), nuclear gene encoding mitochondrial protein, mRNA.
NM_006170.2	ILMN_28955	NOL1	1.90	0.93	1.82	0.87	1.14	0.19	1.25	0.33	Homo sapiens nucleolar protein 1, 120kDa (NOL1), transcript variant 1, mRNA.
NM_015042.1	ILMN_28956	ZNF609	1.34	0.43	1.19	0.26	0.70	-0.52	0.73	-0.46	Homo sapiens zinc finger protein 609 (ZNF609), mRNA.
NM_020645.1	ILMN_28958	NRIP3	1.71	0.77	1.31	0.39	1.11	0.15	1.18	0.24	Homo sapiens nuclear receptor interacting protein 3 (NRIP3), mRNA.
NM_006317.3	ILMN_28962	BASP1	2.22	1.15	2.00	1.00	2.48	1.31	1.99	0.99	Homo sapiens brain abundant, membrane attached signal protein 1 (BASP1), mRNA.
NM_001540.2	ILMN_28967	HSPB1	0.75	-0.41	1.02	0.02	2.22	1.15	3.69	1.89	Homo sapiens heat shock 27kDa protein 1 (HSPB1), mRNA.
NM_001647.2	ILMN_28969	APOD	NaN	NaN	1.19	0.26	1.54	0.62	NaN	NaN	Homo sapiens apolipoprotein D (APOD), mRNA.
NM_080677.1	ILMN_28971	DYNLL2	1.92	0.94	2.04	1.03	0.74	-0.43	0.61	-0.71	Homo sapiens dynein, light chain, LC8-type 2 (DYNLL2), mRNA.
NM_000477.3	ILMN_28973	ALB	0.94	-0.08	1.06	0.09	0.71	-0.50	0.71	-0.49	Homo sapiens albumin (ALB), mRNA.
NM_014890.1	ILMN_28977	DOC1	0.52	-0.94	0.87	-0.20	2.78	1.48	2.57	1.36	Homo sapiens downregulated in ovarian cancer 1 (DOC1), transcript variant 2, mRNA.
NM_020322.1	ILMN_28979	ACCN3	NaN	NaN	0.67	-0.57	NaN	NaN	NaN	NaN	Homo sapiens amiloride-sensitive cation channel 3 (ACCN3), transcript variant 3, mRNA.
NM_005234.3	ILMN_2898	NR2F6	NaN	NaN	NaN	NaN	1.35	0.43	1.51	0.60	Homo sapiens nuclear receptor subfamily 2, group F, member 6 (NR2F6), mRNA.
NM_006386.3	ILMN_28983	DDX17	1.01	0.02	0.98	-0.03	1.24	0.31	1.19	0.25	Homo sapiens DEAD (Asp-Glu-Ala-Asp) box polypeptide 17 (DDX17), transcript variant 1, mRNA.
NM_178000.1	ILMN_28987	PPP2R4	0.69	-0.53	0.71	-0.50	1.06	0.09	0.91	-0.13	Homo sapiens protein phosphatase 2A, regulatory subunit B' (PR 53) (PPP2R4), transcript variant 2, mRNA.
NM_005103.3	ILMN_28992	FEZ1	NaN	NaN	NaN	NaN	1.59	0.67	1.35	0.43	Homo sapiens fasciculation and elongation protein zeta 1 (zygin I) (FEZ1), transcript variant 1, mRNA.
NM_058174.1	ILMN_28997	COL6A2	NaN	NaN	0.92	-0.12	NaN	NaN	0.93	-0.11	Homo sapiens collagen, type VI, alpha 2 (COL6A2), transcript variant 2C2a, mRNA.
NM_173491.1	ILMN_29000	LSM11	1.49	0.58	1.35	0.43	0.89	-0.17	0.97	-0.05	Homo sapiens LSM11, U7 small nuclear RNA associated (LSM11), mRNA.
NM_013374.3	ILMN_29002	PDCD6IP	0.64	-0.64	0.59	-0.77	0.67	-0.57	0.88	-0.19	Homo sapiens programmed cell death 6 interacting protein (PDCD6IP), mRNA.
NM_006571.2	ILMN_29012	DCTN6	0.77	-0.38	0.76	-0.40	0.90	-0.16	0.74	-0.44	Homo sapiens dynactin 6 (DCTN6), mRNA.
